prompt_name,dataset,n_rows,accuracy,macro_f1,abstain_precision,abstain_recall
default,v2_test,73,1.0,1.0,1.0,1.0
default,hard_eval,275,0.6509090909090909,0.5159434906338931,0.6684210526315789,0.8466666666666667
minimal,v2_test,73,0.9863013698630136,0.9881977671451357,1.0,0.9642857142857143
minimal,hard_eval,275,0.6690909090909091,0.5239317391204183,0.6989247311827957,0.8666666666666667
instruction,v2_test,73,0.9863013698630136,0.9881977671451357,1.0,0.9642857142857143
instruction,hard_eval,275,0.6509090909090909,0.49394279348899356,0.655,0.8733333333333333
controller,v2_test,73,1.0,1.0,1.0,1.0
controller,hard_eval,275,0.6581818181818182,0.535702211837045,0.6850828729281768,0.8266666666666667
terse,v2_test,73,0.9863013698630136,0.9881977671451357,1.0,0.9642857142857143
terse,hard_eval,275,0.6763636363636364,0.5527408974510851,0.7010869565217391,0.86
